,Date - Heure,Température (K)
10,2013-01-01 00:00:00,280.750000
69,2013-01-01 03:00:00,280.850000
128,2013-01-01 06:00:00,281.350000
186,2013-01-01 09:00:00,281.450000
244,2013-01-01 12:00:00,281.650000
303,2013-01-01 15:00:00,281.250000
362,2013-01-01 18:00:00,279.250000
420,2013-01-01 21:00:00,276.350000
479,2013-01-02 00:00:00,275.550000
538,2013-01-02 03:00:00,274.150000
596,2013-01-02 06:00:00,274.950000
655,2013-01-02 09:00:00,276.150000
714,2013-01-02 12:00:00,280.650000
773,2013-01-02 15:00:00,281.550000
831,2013-01-02 18:00:00,280.450000
891,2013-01-02 21:00:00,280.350000
950,2013-01-03 00:00:00,280.150000
1010,2013-01-03 03:00:00,280.550000
1069,2013-01-03 06:00:00,280.950000
1129,2013-01-03 09:00:00,281.350000
1189,2013-01-03 12:00:00,282.850000
1249,2013-01-03 15:00:00,283.150000
1309,2013-01-03 18:00:00,283.050000
1369,2013-01-03 21:00:00,282.750000
1429,2013-01-04 00:00:00,282.250000
1489,2013-01-04 03:00:00,282.050000
1548,2013-01-04 06:00:00,281.950000
1608,2013-01-04 09:00:00,282.050000
1668,2013-01-04 12:00:00,282.350000
1727,2013-01-04 15:00:00,282.850000
1785,2013-01-04 18:00:00,281.950000
1843,2013-01-04 21:00:00,282.050000
1903,2013-01-05 00:00:00,281.750000
1963,2013-01-05 03:00:00,281.850000
2022,2013-01-05 06:00:00,281.750000
2080,2013-01-05 09:00:00,282.350000
2140,2013-01-05 12:00:00,282.250000
2200,2013-01-05 15:00:00,281.750000
2260,2013-01-05 18:00:00,281.250000
2320,2013-01-05 21:00:00,280.850000
2380,2013-01-06 00:00:00,280.550000
2439,2013-01-06 03:00:00,280.850000
2498,2013-01-06 06:00:00,280.350000
2558,2013-01-06 09:00:00,280.150000
2618,2013-01-06 12:00:00,280.550000
2678,2013-01-06 15:00:00,280.650000
2736,2013-01-06 18:00:00,280.450000
2794,2013-01-06 21:00:00,280.250000
2853,2013-01-07 00:00:00,280.050000
2912,2013-01-07 03:00:00,279.250000
2971,2013-01-07 06:00:00,279.650000
3031,2013-01-07 09:00:00,279.950000
3091,2013-01-07 12:00:00,280.850000
3151,2013-01-07 15:00:00,280.850000
3211,2013-01-07 18:00:00,280.250000
3271,2013-01-07 21:00:00,278.450000
3331,2013-01-08 00:00:00,278.450000
3390,2013-01-08 03:00:00,278.550000
3450,2013-01-08 06:00:00,278.150000
3509,2013-01-08 09:00:00,277.250000
3568,2013-01-08 12:00:00,277.150000
3628,2013-01-08 15:00:00,276.850000
3688,2013-01-08 18:00:00,276.450000
3748,2013-01-08 21:00:00,276.450000
3808,2013-01-09 00:00:00,275.950000
3867,2013-01-09 03:00:00,276.150000
3925,2013-01-09 06:00:00,276.050000
3985,2013-01-09 09:00:00,276.450000
4045,2013-01-09 12:00:00,277.450000
4105,2013-01-09 15:00:00,277.650000
4165,2013-01-09 18:00:00,277.650000
4225,2013-01-09 21:00:00,277.750000
4285,2013-01-10 00:00:00,277.850000
4345,2013-01-10 03:00:00,278.150000
4405,2013-01-10 06:00:00,278.450000
4465,2013-01-10 09:00:00,278.850000
4525,2013-01-10 12:00:00,279.750000
4584,2013-01-10 15:00:00,281.650000
4644,2013-01-10 18:00:00,281.350000
4703,2013-01-10 21:00:00,280.750000
4762,2013-01-11 00:00:00,280.450000
4819,2013-01-11 03:00:00,279.750000
4877,2013-01-11 06:00:00,278.350000
4935,2013-01-11 09:00:00,277.650000
4994,2013-01-11 12:00:00,279.050000
5054,2013-01-11 15:00:00,278.250000
5114,2013-01-11 18:00:00,277.650000
5174,2013-01-11 21:00:00,275.450000
5232,2013-01-12 00:00:00,274.150000
5292,2013-01-12 03:00:00,275.250000
5351,2013-01-12 06:00:00,275.450000
5410,2013-01-12 09:00:00,276.150000
5469,2013-01-12 12:00:00,277.450000
5527,2013-01-12 15:00:00,278.450000
5586,2013-01-12 18:00:00,278.150000
5645,2013-01-12 21:00:00,277.450000
5704,2013-01-13 00:00:00,277.550000
5762,2013-01-13 03:00:00,276.750000
5821,2013-01-13 06:00:00,277.250000
5878,2013-01-13 09:00:00,277.050000
5937,2013-01-13 12:00:00,277.250000
5996,2013-01-13 15:00:00,276.650000
6055,2013-01-13 18:00:00,275.350000
6114,2013-01-13 21:00:00,273.650000
6171,2013-01-14 00:00:00,272.450000
6229,2013-01-14 03:00:00,271.050000
6288,2013-01-14 06:00:00,270.950000
6346,2013-01-14 09:00:00,270.450000
6404,2013-01-14 12:00:00,274.050000
6464,2013-01-14 15:00:00,273.450000
6523,2013-01-14 18:00:00,273.650000
6582,2013-01-14 21:00:00,273.650000
6640,2013-01-15 00:00:00,274.850000
6699,2013-01-15 03:00:00,274.450000
6759,2013-01-15 06:00:00,274.050000
6819,2013-01-15 09:00:00,274.350000
6878,2013-01-15 12:00:00,275.150000
6937,2013-01-15 15:00:00,275.750000
6997,2013-01-15 18:00:00,274.450000
7057,2013-01-15 21:00:00,274.250000
7117,2013-01-16 00:00:00,273.450000
7175,2013-01-16 03:00:00,270.050000
7233,2013-01-16 06:00:00,268.750000
7293,2013-01-16 09:00:00,270.150000
7353,2013-01-16 12:00:00,272.350000
7413,2013-01-16 15:00:00,272.650000
7472,2013-01-16 18:00:00,269.850000
7531,2013-01-16 21:00:00,268.850000
7590,2013-01-17 00:00:00,268.950000
7649,2013-01-17 03:00:00,266.250000
7709,2013-01-17 06:00:00,267.350000
7769,2013-01-17 09:00:00,267.850000
7829,2013-01-17 12:00:00,272.450000
7889,2013-01-17 15:00:00,272.650000
7949,2013-01-17 18:00:00,269.450000
8009,2013-01-17 21:00:00,267.250000
8069,2013-01-18 00:00:00,267.950000
8129,2013-01-18 03:00:00,267.750000
8189,2013-01-18 06:00:00,268.450000
8248,2013-01-18 09:00:00,269.150000
8308,2013-01-18 12:00:00,270.750000
8368,2013-01-18 15:00:00,271.550000
8427,2013-01-18 18:00:00,270.850000
8487,2013-01-18 21:00:00,271.050000
8546,2013-01-19 00:00:00,270.850000
8606,2013-01-19 03:00:00,270.850000
8665,2013-01-19 06:00:00,270.950000
8724,2013-01-19 09:00:00,271.350000
8783,2013-01-19 12:00:00,272.050000
8843,2013-01-19 15:00:00,271.950000
8903,2013-01-19 18:00:00,272.150000
8963,2013-01-19 21:00:00,272.250000
